OrderID,CustID,ProdID,Quantity,Gender,Age,Region,Price,OrderAmount,AgeGroup,PriceCategory,OrderDate,OrderDW,OrderTime,Year,Season,OrderTimeGroup,RegionName
15,10405,10,6,1,15,5,41000,246000,10s,High-Price,2020-03-25 23:00:00,Wednesday,23:00:00,2020,Spring,PrimeTime,S-City
16,10827,10,10,0,28,6,38200,382000,20s,High-Price,2020-02-09 22:32:00,Sunday,22:32:00,2020,Winter,PrimeTime,I-City
17,10003,10,5,0,30,5,41100,205500,20s,High-Price,2020-01-16 21:28:00,Thursday,21:28:00,2020,Winter,PrimeTime,S-City
18,10982,10,6,0,33,5,40300,241800,30s,High-Price,2020-01-06 21:53:00,Monday,21:53:00,2020,Winter,PrimeTime,S-City
19,10176,10,4,0,27,5,40300,161200,20s,High-Price,2020-01-24 18:45:00,Friday,18:45:00,2020,Winter,DayTime,S-City
20,10512,10,1,0,23,5,40200,40200,20s,High-Price,2020-03-03 23:04:00,Tuesday,23:04:00,2020,Spring,PrimeTime,S-City
21,10693,20,9,1,40,7,31700,285300,30s,Medium-Price,2020-02-26 13:08:00,Wednesday,13:08:00,2020,Winter,DayTime,T-City
22,10571,10,4,0,26,6,41600,166400,20s,High-Price,2020-02-15 23:53:00,Saturday,23:53:00,2020,Winter,PrimeTime,I-City
23,10111,20,1,1,55,1,29300,29300,50s,Medium-Price,2020-01-04 23:12:00,Saturday,23:12:00,2020,Winter,PrimeTime,Y-City
24,10595,10,8,0,23,5,40300,322400,20s,High-Price,2020-03-18 21:43:00,Wednesday,21:43:00,2020,Spring,PrimeTime,S-City
25,10255,10,5,0,23,4,40300,201500,20s,High-Price,2020-02-05 22:41:00,Wednesday,22:41:00,2020,Winter,PrimeTime,K-State
26,10593,10,4,0,37,9,43100,172400,30s,High-Price,2020-03-23 22:49:00,Monday,22:49:00,2020,Spring,PrimeTime,D-City
27,10314,10,5,0,24,6,38700,193500,20s,High-Price,2020-03-24 23:03:00,Tuesday,23:03:00,2020,Spring,PrimeTime,I-City
28,10684,10,7,0,20,6,39400,275800,10s,High-Price,2020-03-10 21:10:00,Tuesday,21:10:00,2020,Spring,PrimeTime,I-City
29,10290,10,6,0,32,6,38700,232200,30s,High-Price,2020-02-27 20:02:00,Thursday,20:02:00,2020,Winter,PrimeTime,I-City
30,10491,10,7,0,26,5,41600,291200,20s,High-Price,2020-03-12 20:51:00,Thursday,20:51:00,2020,Spring,PrimeTime,S-City
31,10070,10,2,0,38,6,38700,77400,30s,High-Price,2020-01-28 22:02:00,Tuesday,22:02:00,2020,Winter,PrimeTime,I-City
32,10222,10,5,0,54,4,39400,197000,50s,High-Price,2020-03-26 21:19:00,Thursday,21:19:00,2020,Spring,PrimeTime,K-State
33,10080,10,6,0,48,8,41600,249600,40s,High-Price,2020-01-17 22:24:00,Friday,22:24:00,2020,Winter,PrimeTime,B-City
34,10090,10,2,0,28,5,41600,83200,20s,High-Price,2020-03-16 23:43:00,Monday,23:43:00,2020,Spring,PrimeTime,S-City
35,10494,10,1,0,28,5,40000,40000,20s,High-Price,2020-03-19 20:40:00,Thursday,20:40:00,2020,Spring,PrimeTime,S-City
36,10281,20,10,1,27,3,29300,293000,20s,Medium-Price,2020-01-02 21:13:00,Thursday,21:13:00,2020,Winter,PrimeTime,P-City
37,10357,10,4,0,26,7,41100,164400,20s,High-Price,2020-01-12 20:20:00,Sunday,20:20:00,2020,Winter,PrimeTime,T-City
38,10701,20,4,1,23,6,29300,117200,20s,Medium-Price,2020-03-28 20:24:00,Saturday,20:24:00,2020,Spring,PrimeTime,I-City
39,10890,20,5,1,26,5,22000,110000,20s,Medium-Price,2020-03-02 15:23:00,Monday,15:23:00,2020,Spring,DayTime,S-City
40,10833,10,6,0,27,5,40800,244800,20s,High-Price,2020-02-04 23:34:00,Tuesday,23:34:00,2020,Winter,PrimeTime,S-City
41,10446,30,5,0,15,5,16600,83000,10s,Low-Price,2020-03-18 21:07:00,Wednesday,21:07:00,2020,Spring,PrimeTime,S-City
42,10078,10,1,0,23,7,41600,41600,20s,High-Price,2020-03-22 13:20:00,Sunday,13:20:00,2020,Spring,DayTime,T-City
43,10525,10,4,0,25,6,42200,168800,20s,High-Price,2020-02-26 23:28:00,Wednesday,23:28:00,2020,Winter,PrimeTime,I-City
44,10711,10,9,0,23,5,40000,360000,20s,High-Price,2020-01-10 23:28:00,Friday,23:28:00,2020,Winter,PrimeTime,S-City
45,10114,10,10,0,31,5,39400,394000,30s,High-Price,2020-01-24 21:06:00,Friday,21:06:00,2020,Winter,PrimeTime,S-City
46,10562,10,5,0,41,6,38000,190000,40s,High-Price,2020-01-02 12:22:00,Thursday,12:22:00,2020,Winter,DayTime,I-City
47,10132,10,4,0,26,7,38000,152000,20s,High-Price,2020-03-25 20:27:00,Wednesday,20:27:00,2020,Spring,PrimeTime,T-City
48,10929,10,7,0,31,5,41600,291200,30s,High-Price,2020-03-10 13:35:00,Tuesday,13:35:00,2020,Spring,DayTime,S-City
49,10116,20,2,1,17,5,21300,42600,10s,Medium-Price,2020-03-26 20:26:00,Thursday,20:26:00,2020,Spring,PrimeTime,S-City
50,10690,10,4,0,30,6,40000,160000,20s,High-Price,2020-01-27 23:01:00,Monday,23:01:00,2020,Winter,PrimeTime,I-City
51,10740,10,4,0,27,1,40800,163200,20s,High-Price,2020-01-01 23:47:00,Wednesday,23:47:00,2020,Winter,PrimeTime,Y-City
52,10398,10,2,0,59,6,41900,83800,50s,High-Price,2020-03-05 21:54:00,Thursday,21:54:00,2020,Spring,PrimeTime,I-City
53,10076,10,1,0,42,5,40800,40800,40s,High-Price,2020-03-28 20:47:00,Saturday,20:47:00,2020,Spring,PrimeTime,S-City
54,10018,10,2,0,28,6,40300,80600,20s,High-Price,2020-01-26 20:29:00,Sunday,20:29:00,2020,Winter,PrimeTime,I-City
55,10069,10,3,0,27,6,41000,123000,20s,High-Price,2020-03-28 22:36:00,Saturday,22:36:00,2020,Spring,PrimeTime,I-City
56,10472,20,4,1,27,4,22900,91600,20s,Medium-Price,2020-01-29 22:33:00,Wednesday,22:33:00,2020,Winter,PrimeTime,K-State
57,10304,10,10,0,27,6,40300,403000,20s,High-Price,2020-03-22 21:52:00,Sunday,21:52:00,2020,Spring,PrimeTime,I-City
58,10331,10,4,0,19,1,38400,153600,10s,High-Price,2020-01-22 22:56:00,Wednesday,22:56:00,2020,Winter,PrimeTime,Y-City
59,10423,10,4,0,31,10,38700,154800,30s,High-Price,2020-01-28 12:08:00,Tuesday,12:08:00,2020,Winter,DayTime,G-City
60,10629,10,2,0,27,5,41300,82600,20s,High-Price,2020-02-06 22:03:00,Thursday,22:03:00,2020,Winter,PrimeTime,S-City
61,10246,20,9,1,31,5,32100,288900,30s,Medium-Price,2020-01-17 21:47:00,Friday,21:47:00,2020,Winter,PrimeTime,S-City
62,10871,10,6,0,36,8,40300,241800,30s,High-Price,2020-03-08 19:15:00,Sunday,19:15:00,2020,Spring,PrimeTime,B-City
63,10433,20,3,1,35,3,28100,84300,30s,Medium-Price,2020-03-12 20:59:00,Thursday,20:59:00,2020,Spring,PrimeTime,P-City
64,10549,10,3,0,36,5,42400,127200,30s,High-Price,2020-01-14 23:10:00,Tuesday,23:10:00,2020,Winter,PrimeTime,S-City
65,10478,10,1,1,22,4,38400,38400,20s,High-Price,2020-01-24 20:31:00,Friday,20:31:00,2020,Winter,PrimeTime,K-State
66,10794,10,7,0,24,7,37500,262500,20s,High-Price,2020-03-27 20:01:00,Friday,20:01:00,2020,Spring,PrimeTime,T-City
67,10548,10,1,0,30,6,38200,38200,20s,High-Price,2020-02-16 21:37:00,Sunday,21:37:00,2020,Winter,PrimeTime,I-City
68,10456,10,3,0,33,6,38700,116100,30s,High-Price,2020-02-21 21:57:00,Friday,21:57:00,2020,Winter,PrimeTime,I-City
69,10961,10,5,0,33,6,40000,200000,30s,High-Price,2020-03-24 14:17:00,Tuesday,14:17:00,2020,Spring,DayTime,I-City
70,10833,10,8,0,27,5,37100,296800,20s,High-Price,2020-01-09 21:42:00,Thursday,21:42:00,2020,Winter,PrimeTime,S-City
71,10009,20,3,1,22,5,30200,90600,20s,Medium-Price,2020-02-15 20:49:00,Saturday,20:49:00,2020,Winter,PrimeTime,S-City
72,10964,10,4,0,27,5,40100,160400,20s,High-Price,2020-02-16 20:18:00,Sunday,20:18:00,2020,Winter,PrimeTime,S-City
73,10775,10,8,0,28,5,41900,335200,20s,High-Price,2020-02-27 23:11:00,Thursday,23:11:00,2020,Winter,PrimeTime,S-City
74,10102,20,5,1,27,3,29300,146500,20s,Medium-Price,2020-03-02 20:22:00,Monday,20:22:00,2020,Spring,PrimeTime,P-City
75,10392,10,9,0,61,5,42200,379800,60s+,High-Price,2020-02-20 16:44:00,Thursday,16:44:00,2020,Winter,DayTime,S-City
76,10948,20,6,1,28,8,22800,136800,20s,Medium-Price,2020-02-11 15:17:00,Tuesday,15:17:00,2020,Winter,DayTime,B-City
77,10462,20,7,1,51,7,31700,221900,50s,Medium-Price,2020-03-28 20:15:00,Saturday,20:15:00,2020,Spring,PrimeTime,T-City
78,10083,10,4,0,84,5,40000,160000,60s+,High-Price,2020-03-29 20:35:00,Sunday,20:35:00,2020,Spring,PrimeTime,S-City
79,10377,10,3,0,24,6,41900,125700,20s,High-Price,2020-01-02 23:33:00,Thursday,23:33:00,2020,Winter,PrimeTime,I-City
80,10530,10,4,0,25,5,41600,166400,20s,High-Price,2020-03-16 22:06:00,Monday,22:06:00,2020,Spring,PrimeTime,S-City
81,10772,10,3,0,35,5,39400,118200,30s,High-Price,2020-03-06 23:36:00,Friday,23:36:00,2020,Spring,PrimeTime,S-City
82,10127,10,3,0,27,4,40100,120300,20s,High-Price,2020-02-22 23:40:00,Saturday,23:40:00,2020,Winter,PrimeTime,K-State
83,10265,20,3,1,23,7,26500,79500,20s,Medium-Price,2020-02-24 22:43:00,Monday,22:43:00,2020,Winter,PrimeTime,T-City
84,10048,10,8,1,29,7,34900,279200,20s,High-Price,2020-02-27 22:19:00,Thursday,22:19:00,2020,Winter,PrimeTime,T-City
85,10556,10,10,0,25,8,39400,394000,20s,High-Price,2020-01-24 13:46:00,Friday,13:46:00,2020,Winter,DayTime,B-City
86,10702,10,4,0,25,6,41900,167600,20s,High-Price,2020-03-27 00:36:00,Friday,00:36:00,2020,Spring,DayBreak,I-City
87,10772,10,2,0,35,5,39400,78800,30s,High-Price,2020-01-07 09:12:00,Tuesday,09:12:00,2020,Winter,DayTime,S-City
88,10301,10,5,0,26,2,40300,201500,20s,High-Price,2020-01-26 23:00:00,Sunday,23:00:00,2020,Winter,PrimeTime,H-City
89,10076,10,5,0,42,5,38200,191000,40s,High-Price,2020-03-12 11:39:00,Thursday,11:39:00,2020,Spring,DayTime,S-City
90,10306,10,2,1,25,6,41300,82600,20s,High-Price,2020-02-28 23:38:00,Friday,23:38:00,2020,Winter,PrimeTime,I-City
91,10051,30,3,0,15,6,13400,40200,10s,Low-Price,2020-03-11 13:36:00,Wednesday,13:36:00,2020,Spring,DayTime,I-City
92,10139,30,1,0,16,5,14800,14800,10s,Low-Price,2020-03-10 23:17:00,Tuesday,23:17:00,2020,Spring,PrimeTime,S-City
93,10172,30,3,0,12,5,10900,32700,10s,Low-Price,2020-01-18 15:13:00,Saturday,15:13:00,2020,Winter,DayTime,S-City
94,10720,20,9,1,26,5,29300,263700,20s,Medium-Price,2020-03-15 23:12:00,Sunday,23:12:00,2020,Spring,PrimeTime,S-City
95,10988,20,1,1,29,6,26500,26500,20s,Medium-Price,2020-03-11 16:50:00,Wednesday,16:50:00,2020,Spring,DayTime,I-City
96,10103,10,6,0,24,9,38400,230400,20s,High-Price,2020-01-27 21:18:00,Monday,21:18:00,2020,Winter,PrimeTime,D-City
97,10575,20,3,1,33,6,29300,87900,30s,Medium-Price,2020-01-09 16:57:00,Thursday,16:57:00,2020,Winter,DayTime,I-City
98,10484,10,7,0,51,5,36600,256200,50s,High-Price,2020-03-02 23:26:00,Monday,23:26:00,2020,Spring,PrimeTime,S-City
99,10339,10,5,0,30,6,41300,206500,20s,High-Price,2020-03-07 20:03:00,Saturday,20:03:00,2020,Spring,PrimeTime,I-City
100,10766,10,1,0,31,5,40800,40800,30s,High-Price,2020-02-04 22:00:00,Tuesday,22:00:00,2020,Winter,PrimeTime,S-City
101,10319,10,9,0,57,7,40200,361800,50s,High-Price,2020-02-22 21:29:00,Saturday,21:29:00,2020,Winter,PrimeTime,T-City
102,10374,10,3,0,28,5,41000,123000,20s,High-Price,2020-01-31 23:27:00,Friday,23:27:00,2020,Winter,PrimeTime,S-City
103,10420,10,1,1,18,8,41300,41300,10s,High-Price,2020-03-01 23:10:00,Sunday,23:10:00,2020,Spring,PrimeTime,B-City
104,10342,10,3,0,26,5,38000,114000,20s,High-Price,2020-03-09 21:32:00,Monday,21:32:00,2020,Spring,PrimeTime,S-City
105,10925,10,9,0,23,7,38200,343800,20s,High-Price,2020-03-19 22:06:00,Thursday,22:06:00,2020,Spring,PrimeTime,T-City
106,10956,10,8,0,24,4,40800,326400,20s,High-Price,2020-03-12 02:47:00,Thursday,02:47:00,2020,Spring,DayBreak,K-State
107,10226,10,6,0,26,6,40000,240000,20s,High-Price,2020-01-01 21:58:00,Wednesday,21:58:00,2020,Winter,PrimeTime,I-City
108,10090,10,5,0,28,5,40000,200000,20s,High-Price,2020-02-03 23:07:00,Monday,23:07:00,2020,Winter,PrimeTime,S-City
109,10459,10,10,0,22,7,39400,394000,20s,High-Price,2020-03-23 22:20:00,Monday,22:20:00,2020,Spring,PrimeTime,T-City
110,10514,10,3,0,24,5,38700,116100,20s,High-Price,2020-01-03 21:15:00,Friday,21:15:00,2020,Winter,PrimeTime,S-City
111,10507,10,10,0,29,4,38700,387000,20s,High-Price,2020-03-10 20:17:00,Tuesday,20:17:00,2020,Spring,PrimeTime,K-State
112,10406,10,7,0,26,4,41300,289100,20s,High-Price,2020-02-28 21:20:00,Friday,21:20:00,2020,Winter,PrimeTime,K-State
113,10922,10,10,0,20,5,38000,380000,10s,High-Price,2020-01-23 20:00:00,Thursday,20:00:00,2020,Winter,PrimeTime,S-City
114,10651,10,2,0,37,6,38000,76000,30s,High-Price,2020-03-21 22:48:00,Saturday,22:48:00,2020,Spring,PrimeTime,I-City
115,10633,10,6,0,21,10,40800,244800,20s,High-Price,2020-03-14 18:20:00,Saturday,18:20:00,2020,Spring,DayTime,G-City
116,10426,10,2,0,29,7,41300,82600,20s,High-Price,2020-03-19 20:23:00,Thursday,20:23:00,2020,Spring,PrimeTime,T-City
117,10014,10,6,0,31,7,39400,236400,30s,High-Price,2020-03-05 22:58:00,Thursday,22:58:00,2020,Spring,PrimeTime,T-City
118,10692,10,5,0,33,8,39400,197000,30s,High-Price,2020-01-24 22:05:00,Friday,22:05:00,2020,Winter,PrimeTime,B-City
119,10323,10,5,0,22,6,38700,193500,20s,High-Price,2020-03-28 22:49:00,Saturday,22:49:00,2020,Spring,PrimeTime,I-City
120,10211,10,6,0,20,9,38400,230400,10s,High-Price,2020-02-27 22:22:00,Thursday,22:22:00,2020,Winter,PrimeTime,D-City
121,10213,20,1,1,29,5,21300,21300,20s,Medium-Price,2020-01-25 22:05:00,Saturday,22:05:00,2020,Winter,PrimeTime,S-City
122,10648,20,6,1,43,6,22900,137400,40s,Medium-Price,2020-03-29 15:15:00,Sunday,15:15:00,2020,Spring,DayTime,I-City
123,10809,10,7,0,28,6,38700,270900,20s,High-Price,2020-01-24 23:42:00,Friday,23:42:00,2020,Winter,PrimeTime,I-City
124,10313,10,3,0,22,10,39400,118200,20s,High-Price,2020-02-13 21:31:00,Thursday,21:31:00,2020,Winter,PrimeTime,G-City
125,10342,10,9,0,26,5,40000,360000,20s,High-Price,2020-01-24 22:19:00,Friday,22:19:00,2020,Winter,PrimeTime,S-City
126,10038,10,2,0,26,6,41200,82400,20s,High-Price,2020-01-23 08:40:00,Thursday,08:40:00,2020,Winter,DayTime,I-City
127,10431,30,9,0,17,10,5100,45900,10s,Low-Price,2020-03-22 20:56:00,Sunday,20:56:00,2020,Spring,PrimeTime,G-City
128,10212,10,10,0,29,9,40000,400000,20s,High-Price,2020-01-19 22:52:00,Sunday,22:52:00,2020,Winter,PrimeTime,D-City
129,10475,10,6,0,25,5,40000,240000,20s,High-Price,2020-03-19 21:22:00,Thursday,21:22:00,2020,Spring,PrimeTime,S-City
130,10696,30,6,0,17,5,17300,103800,10s,Low-Price,2020-03-01 22:32:00,Sunday,22:32:00,2020,Spring,PrimeTime,S-City
131,10391,30,9,0,18,6,10000,90000,10s,Low-Price,2020-01-25 21:16:00,Saturday,21:16:00,2020,Winter,PrimeTime,I-City
132,10513,20,5,1,23,4,29300,146500,20s,Medium-Price,2020-01-16 14:45:00,Thursday,14:45:00,2020,Winter,DayTime,K-State
133,10393,10,5,0,29,10,38700,193500,20s,High-Price,2020-02-22 21:15:00,Saturday,21:15:00,2020,Winter,PrimeTime,G-City
134,10726,10,1,0,46,10,38700,38700,40s,High-Price,2020-03-02 22:16:00,Monday,22:16:00,2020,Spring,PrimeTime,G-City
135,10380,20,9,1,27,3,24700,222300,20s,Medium-Price,2020-02-19 22:04:00,Wednesday,22:04:00,2020,Winter,PrimeTime,P-City
136,10240,20,3,1,31,7,22900,68700,30s,Medium-Price,2020-01-12 20:28:00,Sunday,20:28:00,2020,Winter,PrimeTime,T-City
137,10678,10,3,0,38,9,40800,122400,30s,High-Price,2020-01-27 20:19:00,Monday,20:19:00,2020,Winter,PrimeTime,D-City
138,10964,10,5,0,27,5,38000,190000,20s,High-Price,2020-02-25 23:53:00,Tuesday,23:53:00,2020,Winter,PrimeTime,S-City
139,10687,20,5,1,24,5,31700,158500,20s,Medium-Price,2020-01-07 21:41:00,Tuesday,21:41:00,2020,Winter,PrimeTime,S-City
140,10745,20,4,1,25,6,23500,94000,20s,Medium-Price,2020-03-17 22:55:00,Tuesday,22:55:00,2020,Spring,PrimeTime,I-City
141,10426,10,5,0,29,7,38200,191000,20s,High-Price,2020-01-23 23:19:00,Thursday,23:19:00,2020,Winter,PrimeTime,T-City
142,10861,10,3,0,28,7,37500,112500,20s,High-Price,2020-01-27 21:37:00,Monday,21:37:00,2020,Winter,PrimeTime,T-City
143,10064,10,5,0,31,5,40800,204000,30s,High-Price,2020-02-26 21:48:00,Wednesday,21:48:00,2020,Winter,PrimeTime,S-City
144,10058,10,3,0,36,6,39400,118200,30s,High-Price,2020-02-24 22:40:00,Monday,22:40:00,2020,Winter,PrimeTime,I-City
145,10613,20,9,1,30,5,22000,198000,20s,Medium-Price,2020-02-14 16:23:00,Friday,16:23:00,2020,Winter,DayTime,S-City
146,10552,10,2,0,33,6,42600,85200,30s,High-Price,2020-02-17 20:50:00,Monday,20:50:00,2020,Winter,PrimeTime,I-City
147,10706,10,1,0,25,5,40800,40800,20s,High-Price,2020-02-14 20:37:00,Friday,20:37:00,2020,Winter,PrimeTime,S-City
148,10436,20,6,1,30,6,28100,168600,20s,Medium-Price,2020-03-08 21:19:00,Sunday,21:19:00,2020,Spring,PrimeTime,I-City
149,10702,10,2,0,25,6,39400,78800,20s,High-Price,2020-01-17 14:14:00,Friday,14:14:00,2020,Winter,DayTime,I-City
150,10366,10,3,0,26,7,41300,123900,20s,High-Price,2020-01-04 22:52:00,Saturday,22:52:00,2020,Winter,PrimeTime,T-City
151,10710,10,3,0,30,4,37500,112500,20s,High-Price,2020-02-25 20:42:00,Tuesday,20:42:00,2020,Winter,PrimeTime,K-State
152,10955,10,1,0,31,5,40300,40300,30s,High-Price,2020-02-03 22:31:00,Monday,22:31:00,2020,Winter,PrimeTime,S-City
153,10860,10,5,0,26,9,37500,187500,20s,High-Price,2020-03-27 23:12:00,Friday,23:12:00,2020,Spring,PrimeTime,D-City
154,10352,30,3,0,19,6,13400,40200,10s,Low-Price,2020-01-26 22:04:00,Sunday,22:04:00,2020,Winter,PrimeTime,I-City
155,10937,10,4,0,34,6,40000,160000,30s,High-Price,2020-03-15 20:54:00,Sunday,20:54:00,2020,Spring,PrimeTime,I-City
156,10074,10,4,1,41,5,41300,165200,40s,High-Price,2020-02-09 22:51:00,Sunday,22:51:00,2020,Winter,PrimeTime,S-City
157,10694,10,6,0,32,3,41200,247200,30s,High-Price,2020-01-20 22:53:00,Monday,22:53:00,2020,Winter,PrimeTime,P-City
158,10889,20,4,1,23,5,31700,126800,20s,Medium-Price,2020-03-01 19:22:00,Sunday,19:22:00,2020,Spring,PrimeTime,S-City
159,10520,10,2,0,26,3,39400,78800,20s,High-Price,2020-01-02 17:06:00,Thursday,17:06:00,2020,Winter,DayTime,P-City
160,10356,30,1,0,18,5,12900,12900,10s,Low-Price,2020-03-17 21:28:00,Tuesday,21:28:00,2020,Spring,PrimeTime,S-City
161,10944,10,10,0,36,5,39400,394000,30s,High-Price,2020-03-10 21:31:00,Tuesday,21:31:00,2020,Spring,PrimeTime,S-City
162,10710,10,3,0,30,4,41200,123600,20s,High-Price,2020-02-02 18:03:00,Sunday,18:03:00,2020,Winter,DayTime,K-State
163,10682,10,5,0,27,3,40200,201000,20s,High-Price,2020-02-07 20:49:00,Friday,20:49:00,2020,Winter,PrimeTime,P-City
164,10797,20,10,1,24,7,22900,229000,20s,Medium-Price,2020-01-04 23:21:00,Saturday,23:21:00,2020,Winter,PrimeTime,T-City
165,10247,10,7,0,30,6,40800,285600,20s,High-Price,2020-02-07 20:13:00,Friday,20:13:00,2020,Winter,PrimeTime,I-City
166,10891,30,4,0,18,7,5100,20400,10s,Low-Price,2020-02-20 21:52:00,Thursday,21:52:00,2020,Winter,PrimeTime,T-City
167,10854,10,10,0,34,5,37500,375000,30s,High-Price,2020-01-26 21:40:00,Sunday,21:40:00,2020,Winter,PrimeTime,S-City
168,10780,10,9,0,24,5,39400,354600,20s,High-Price,2020-02-11 21:40:00,Tuesday,21:40:00,2020,Winter,PrimeTime,S-City
169,10516,10,5,0,30,5,39400,197000,20s,High-Price,2020-03-20 17:27:00,Friday,17:27:00,2020,Spring,DayTime,S-City
170,10275,10,10,0,33,6,38000,380000,30s,High-Price,2020-02-19 22:12:00,Wednesday,22:12:00,2020,Winter,PrimeTime,I-City
171,10932,20,5,1,24,4,23500,117500,20s,Medium-Price,2020-01-13 21:28:00,Monday,21:28:00,2020,Winter,PrimeTime,K-State
172,10047,10,3,0,29,6,38000,114000,20s,High-Price,2020-02-14 13:26:00,Friday,13:26:00,2020,Winter,DayTime,I-City
173,10362,10,6,0,23,4,39400,236400,20s,High-Price,2020-02-21 23:58:00,Friday,23:58:00,2020,Winter,PrimeTime,K-State
174,10146,10,4,1,32,4,41000,164000,30s,High-Price,2020-03-09 15:26:00,Monday,15:26:00,2020,Spring,DayTime,K-State
175,10112,10,7,0,23,6,38200,267400,20s,High-Price,2020-03-31 20:23:00,Tuesday,20:23:00,2020,Spring,PrimeTime,I-City
176,10156,10,8,0,33,6,39400,315200,30s,High-Price,2020-01-13 18:19:00,Monday,18:19:00,2020,Winter,DayTime,I-City
177,10055,10,3,0,55,6,37500,112500,50s,High-Price,2020-01-28 16:08:00,Tuesday,16:08:00,2020,Winter,DayTime,I-City
178,10624,20,5,1,22,6,22900,114500,20s,Medium-Price,2020-01-28 21:27:00,Tuesday,21:27:00,2020,Winter,PrimeTime,I-City
179,10714,10,6,0,36,5,40000,240000,30s,High-Price,2020-02-12 20:53:00,Wednesday,20:53:00,2020,Winter,PrimeTime,S-City
180,10404,10,1,0,29,4,40000,40000,20s,High-Price,2020-03-14 23:52:00,Saturday,23:52:00,2020,Spring,PrimeTime,K-State
181,10200,10,2,0,24,5,40000,80000,20s,High-Price,2020-02-29 21:44:00,Saturday,21:44:00,2020,Winter,PrimeTime,S-City
182,10584,10,1,0,27,6,38000,38000,20s,High-Price,2020-02-04 23:16:00,Tuesday,23:16:00,2020,Winter,PrimeTime,I-City
183,10870,10,8,1,30,8,42400,339200,20s,High-Price,2020-02-24 21:29:00,Monday,21:29:00,2020,Winter,PrimeTime,B-City
184,10428,10,2,0,23,5,41300,82600,20s,High-Price,2020-02-07 14:30:00,Friday,14:30:00,2020,Winter,DayTime,S-City
185,10941,10,2,0,22,7,39400,78800,20s,High-Price,2020-01-23 17:53:00,Thursday,17:53:00,2020,Winter,DayTime,T-City
186,10623,10,4,0,66,6,40800,163200,60s+,High-Price,2020-03-19 23:38:00,Thursday,23:38:00,2020,Spring,PrimeTime,I-City
187,10687,20,3,1,24,5,28100,84300,20s,Medium-Price,2020-01-11 22:11:00,Saturday,22:11:00,2020,Winter,PrimeTime,S-City
188,10675,10,8,0,23,10,41600,332800,20s,High-Price,2020-01-26 13:36:00,Sunday,13:36:00,2020,Winter,DayTime,G-City
189,10674,10,7,0,42,5,43900,307300,40s,High-Price,2020-03-19 23:28:00,Thursday,23:28:00,2020,Spring,PrimeTime,S-City
190,10075,10,1,0,23,7,40200,40200,20s,High-Price,2020-02-28 08:22:00,Friday,08:22:00,2020,Winter,DayTime,T-City
191,10376,10,10,0,59,5,40800,408000,50s,High-Price,2020-01-14 21:43:00,Tuesday,21:43:00,2020,Winter,PrimeTime,S-City
192,10838,10,9,0,34,3,41200,370800,30s,High-Price,2020-01-08 20:35:00,Wednesday,20:35:00,2020,Winter,PrimeTime,P-City
193,10477,10,1,0,22,7,41900,41900,20s,High-Price,2020-03-22 22:36:00,Sunday,22:36:00,2020,Spring,PrimeTime,T-City
194,10815,10,1,0,26,7,41300,41300,20s,High-Price,2020-03-18 20:51:00,Wednesday,20:51:00,2020,Spring,PrimeTime,T-City
