OrderID,CustID,ProdID,Quantity,Gender,Age,Region,Price,OrderAmount,AgeGroup,PriceCategory,OrderDate,OrderDW,OrderTime,Year,Season,OrderTimeGroup
66,10794,128,11,0,24,7,37500,412500,20s,High-Price,2020-03-27 21:58:07,Monday,21:58:07,2020,Spring,PrimeTime
67,10548,194,1,0,30,6,38200,38200,20s,High-Price,2020-02-16 20:33:40,Thursday,20:33:40,2020,Winter,PrimeTime
68,10456,152,3,0,33,6,38700,116100,30s,High-Price,2020-02-21 14:45:06,Monday,14:45:06,2020,Winter,DayTime
69,10961,138,5,0,33,6,40000,200000,30s,High-Price,2020-03-24 23:28:40,Monday,23:28:40,2020,Spring,PrimeTime
70,10833,134,17,0,27,5,37100,630700,20s,High-Price,2020-01-09 20:26:08,Sunday,20:26:08,2020,Winter,PrimeTime
71,10009,270,3,1,22,5,30200,90600,20s,Medium-Price,2020-02-15 23:49:51,Friday,23:49:51,2020,Winter,PrimeTime
72,10964,108,4,0,27,5,40100,160400,20s,High-Price,2020-02-16 21:52:50,Thursday,21:52:50,2020,Winter,PrimeTime
73,10775,190,8,0,28,5,41900,335200,20s,High-Price,2020-02-27 22:46:02,Friday,22:46:02,2020,Winter,PrimeTime
74,10102,260,5,1,27,3,29300,146500,20s,Medium-Price,2020-03-02 21:06:43,Thursday,21:06:43,2020,Spring,PrimeTime
75,10392,105,9,0,61,5,42200,379800,60s+,High-Price,2020-02-20 21:58:58,Wednesday,21:58:58,2020,Winter,PrimeTime
76,10948,244,22,1,28,8,22800,501600,20s,Medium-Price,2020-02-11 16:32:27,Thursday,16:32:27,2020,Winter,DayTime
77,10462,238,7,1,51,7,31700,221900,50s,Medium-Price,2020-03-28 20:36:18,Thursday,20:36:18,2020,Spring,PrimeTime
78,10083,138,4,0,84,5,40000,160000,60s+,High-Price,2020-03-29 18:59:10,Sunday,18:59:10,2020,Spring,DayTime
79,10377,190,3,0,24,6,41900,125700,20s,High-Price,2020-01-02 22:03:23,Thursday,22:03:23,2020,Winter,PrimeTime
80,10530,118,4,0,25,5,41600,166400,20s,High-Price,2020-03-16 21:37:41,Wednesday,21:37:41,2020,Spring,PrimeTime
81,10772,160,3,0,35,5,39400,118200,30s,High-Price,2020-03-06 13:44:26,Monday,13:44:26,2020,Spring,DayTime
82,10127,108,3,0,27,4,40100,120300,20s,High-Price,2020-02-22 17:03:14,Wednesday,17:03:14,2020,Winter,DayTime
83,10265,252,3,1,23,7,26500,79500,20s,Medium-Price,2020-02-24 21:31:20,Friday,21:31:20,2020,Winter,PrimeTime
84,10048,113,14,1,29,7,34900,488600,20s,High-Price,2020-02-27 21:38:51,Sunday,21:38:51,2020,Winter,PrimeTime
85,10556,160,10,0,25,8,39400,394000,20s,High-Price,2020-01-24 23:31:44,Thursday,23:31:44,2020,Winter,PrimeTime
86,10702,190,4,0,25,6,41900,167600,20s,High-Price,2020-03-27 18:05:13,Sunday,18:05:13,2020,Spring,DayTime
87,10772,160,2,0,35,5,39400,78800,30s,High-Price,2020-01-07 21:51:48,Wednesday,21:51:48,2020,Winter,PrimeTime
88,10301,154,5,0,26,2,40300,201500,20s,High-Price,2020-01-26 20:27:18,Monday,20:27:18,2020,Winter,PrimeTime
89,10076,194,5,0,42,5,38200,191000,40s,High-Price,2020-03-12 23:58:33,Friday,23:58:33,2020,Spring,PrimeTime
90,10306,179,2,1,25,6,41300,82600,20s,High-Price,2020-02-28 22:49:01,Friday,22:49:01,2020,Winter,PrimeTime
91,10051,354,3,0,15,6,13400,40200,10s,Low-Price,2020-03-11 21:08:15,Monday,21:08:15,2020,Spring,PrimeTime
92,10139,352,1,0,16,5,14800,14800,10s,Low-Price,2020-03-10 21:48:15,Wednesday,21:48:15,2020,Spring,PrimeTime
93,10172,390,3,0,12,5,10900,32700,10s,Low-Price,2020-01-18 19:24:56,Friday,19:24:56,2020,Winter,PrimeTime
94,10720,260,9,1,26,5,29300,263700,20s,Medium-Price,2020-03-15 20:18:41,Sunday,20:18:41,2020,Spring,PrimeTime
95,10988,252,1,1,29,6,26500,26500,20s,Medium-Price,2020-03-11 22:27:04,Friday,22:27:04,2020,Spring,PrimeTime
96,10103,111,6,0,24,9,38400,230400,20s,High-Price,2020-01-27 21:31:39,Wednesday,21:31:39,2020,Winter,PrimeTime
97,10575,260,3,1,33,6,29300,87900,30s,Medium-Price,2020-01-09 23:31:10,Monday,23:31:10,2020,Winter,PrimeTime
98,10484,116,36,0,51,5,36600,1317600,50s,High-Price,2020-03-02 10:09:47,Sunday,10:09:47,2020,Spring,DayTime
99,10339,179,5,0,30,6,41300,206500,20s,High-Price,2020-03-07 23:43:32,Monday,23:43:32,2020,Spring,PrimeTime
100,10766,144,1,0,31,5,40800,40800,30s,High-Price,2020-02-04 23:47:48,Wednesday,23:47:48,2020,Winter,PrimeTime
101,10319,162,12,0,57,7,40200,482400,50s,High-Price,2020-02-22 14:48:25,Monday,14:48:25,2020,Winter,DayTime
102,10374,127,3,0,28,5,41000,123000,20s,High-Price,2020-01-31 13:30:09,Thursday,13:30:09,2020,Winter,DayTime
103,10420,179,1,1,18,8,41300,41300,10s,High-Price,2020-03-01 23:10:38,Sunday,23:10:38,2020,Spring,PrimeTime
104,10342,170,12,0,26,5,38000,456000,20s,High-Price,2020-03-09 23:06:36,Saturday,23:06:36,2020,Spring,PrimeTime
105,10925,194,13,0,23,7,38200,496600,20s,High-Price,2020-03-19 22:00:23,Monday,22:00:23,2020,Spring,PrimeTime
106,10956,144,11,0,24,4,40800,448800,20s,High-Price,2020-03-12 20:40:47,Monday,20:40:47,2020,Spring,PrimeTime
107,10226,138,6,0,26,6,40000,240000,20s,High-Price,2020-01-01 21:15:28,Tuesday,21:15:28,2020,Winter,PrimeTime
108,10090,138,5,0,28,5,40000,200000,20s,High-Price,2020-02-03 21:23:18,Monday,21:23:18,2020,Winter,PrimeTime
109,10459,160,10,0,22,7,39400,394000,20s,High-Price,2020-03-23 23:07:56,Thursday,23:07:56,2020,Spring,PrimeTime
110,10514,152,3,0,24,5,38700,116100,20s,High-Price,2020-01-03 16:06:42,Thursday,16:06:42,2020,Winter,DayTime
111,10507,152,14,0,29,4,38700,541800,20s,High-Price,2020-03-10 20:27:36,Monday,20:27:36,2020,Spring,PrimeTime
112,10406,179,7,0,26,4,41300,289100,20s,High-Price,2020-02-28 12:10:09,Sunday,12:10:09,2020,Winter,DayTime
113,10922,170,10,0,20,5,38000,380000,10s,High-Price,2020-01-23 23:54:42,Friday,23:54:42,2020,Winter,PrimeTime
114,10651,170,2,0,37,6,38000,76000,30s,High-Price,2020-03-21 20:58:50,Saturday,20:58:50,2020,Spring,PrimeTime
115,10633,144,6,0,21,10,40800,244800,20s,High-Price,2020-03-14 08:58:01,Monday,08:58:01,2020,Spring,DayTime
116,10426,179,2,0,29,7,41300,82600,20s,High-Price,2020-03-19 21:38:10,Monday,21:38:10,2020,Spring,PrimeTime
117,10014,160,6,0,31,7,39400,236400,30s,High-Price,2020-03-05 20:24:37,Thursday,20:24:37,2020,Spring,PrimeTime
118,10692,160,5,0,33,8,39400,197000,30s,High-Price,2020-01-24 22:21:02,Friday,22:21:02,2020,Winter,PrimeTime
119,10323,152,16,0,22,6,38700,619200,20s,High-Price,2020-03-28 20:04:20,Sunday,20:04:20,2020,Spring,PrimeTime
120,10211,111,14,0,20,9,38400,537600,10s,High-Price,2020-02-27 14:03:26,Friday,14:03:26,2020,Winter,DayTime
121,10213,262,1,1,29,5,21300,21300,20s,Medium-Price,2020-01-25 12:28:06,Wednesday,12:28:06,2020,Winter,DayTime
122,10648,254,6,1,43,6,22900,137400,40s,Medium-Price,2020-03-29 23:30:06,Wednesday,23:30:06,2020,Spring,PrimeTime
123,10809,152,7,0,28,6,38700,270900,20s,High-Price,2020-01-24 22:31:30,Thursday,22:31:30,2020,Winter,PrimeTime
124,10313,160,3,0,22,10,39400,118200,20s,High-Price,2020-02-13 23:51:54,Tuesday,23:51:54,2020,Winter,PrimeTime
125,10342,138,9,0,26,5,40000,360000,20s,High-Price,2020-01-24 21:47:30,Wednesday,21:47:30,2020,Winter,PrimeTime
126,10038,186,2,0,26,6,41200,82400,20s,High-Price,2020-01-23 13:45:48,Saturday,13:45:48,2020,Winter,DayTime
127,10431,360,9,0,17,10,5100,45900,10s,Low-Price,2020-03-22 20:39:04,Sunday,20:39:04,2020,Spring,PrimeTime
128,10212,138,10,0,29,9,40000,400000,20s,High-Price,2020-01-19 23:37:43,Tuesday,23:37:43,2020,Winter,PrimeTime
129,10475,138,6,0,25,5,40000,240000,20s,High-Price,2020-03-19 23:54:06,Friday,23:54:06,2020,Spring,PrimeTime
130,10696,318,6,0,17,5,17300,103800,10s,Low-Price,2020-03-01 23:13:06,Tuesday,23:13:06,2020,Spring,PrimeTime
131,10391,382,22,0,18,6,10000,220000,10s,Low-Price,2020-01-25 08:35:00,Tuesday,08:35:00,2020,Winter,DayTime
132,10513,260,5,1,23,4,29300,146500,20s,Medium-Price,2020-01-16 23:27:37,Tuesday,23:27:37,2020,Winter,PrimeTime
133,10393,152,5,0,29,10,38700,193500,20s,High-Price,2020-02-22 22:05:45,Wednesday,22:05:45,2020,Winter,PrimeTime
134,10726,152,1,0,46,10,38700,38700,40s,High-Price,2020-03-02 13:36:36,Monday,13:36:36,2020,Spring,DayTime
135,10380,218,13,1,27,3,24700,321100,20s,Medium-Price,2020-02-19 23:57:09,Friday,23:57:09,2020,Winter,PrimeTime
136,10240,254,3,1,31,7,22900,68700,30s,Medium-Price,2020-01-12 18:35:16,Friday,18:35:16,2020,Winter,DayTime
137,10678,144,3,0,38,9,40800,122400,30s,High-Price,2020-01-27 20:31:40,Wednesday,20:31:40,2020,Winter,PrimeTime
138,10964,170,5,0,27,5,38000,190000,20s,High-Price,2020-02-25 21:34:52,Tuesday,21:34:52,2020,Winter,PrimeTime
139,10687,238,5,1,24,5,31700,158500,20s,Medium-Price,2020-01-07 22:41:52,Wednesday,22:41:52,2020,Winter,PrimeTime
140,10745,202,4,1,25,6,23500,94000,20s,Medium-Price,2020-03-17 23:27:38,Friday,23:27:38,2020,Spring,PrimeTime
141,10426,194,5,0,29,7,38200,191000,20s,High-Price,2020-01-23 22:46:18,Thursday,22:46:18,2020,Winter,PrimeTime
142,10861,128,33,0,28,7,37500,1237500,20s,High-Price,2020-01-27 22:53:29,Saturday,22:53:29,2020,Winter,PrimeTime
143,10064,144,5,0,31,5,40800,204000,30s,High-Price,2020-02-26 15:24:32,Saturday,15:24:32,2020,Winter,DayTime
144,10058,160,3,0,36,6,39400,118200,30s,High-Price,2020-02-24 00:17:11,Monday,00:17:11,2020,Winter,
145,10613,228,9,1,30,5,22000,198000,20s,Medium-Price,2020-02-14 01:35:54,Sunday,01:35:54,2020,Winter,DayBreak
146,10552,198,2,0,33,6,42600,85200,30s,High-Price,2020-02-17 23:37:25,Tuesday,23:37:25,2020,Winter,PrimeTime
147,10706,144,1,0,25,5,40800,40800,20s,High-Price,2020-02-14 16:31:40,Saturday,16:31:40,2020,Winter,DayTime
148,10436,282,6,1,30,6,28100,168600,20s,Medium-Price,2020-03-08 21:52:01,Tuesday,21:52:01,2020,Spring,PrimeTime
149,10702,160,32,0,25,6,39400,1260800,20s,High-Price,2020-01-17 23:16:21,Thursday,23:16:21,2020,Winter,PrimeTime
150,10366,179,15,0,26,7,41300,619500,20s,High-Price,2020-01-04 13:20:01,Monday,13:20:01,2020,Winter,DayTime
151,10710,128,3,0,30,4,37500,112500,20s,High-Price,2020-02-25 13:29:02,Saturday,13:29:02,2020,Winter,DayTime
152,10955,154,13,0,31,5,40300,523900,30s,High-Price,2020-02-03 13:12:20,Wednesday,13:12:20,2020,Winter,DayTime
153,10860,128,5,0,26,9,37500,187500,20s,High-Price,2020-03-27 22:43:05,Saturday,22:43:05,2020,Spring,PrimeTime
154,10352,354,14,0,19,6,13400,187600,10s,Low-Price,2020-01-26 20:32:09,Saturday,20:32:09,2020,Winter,PrimeTime
155,10937,138,4,0,34,6,40000,160000,30s,High-Price,2020-03-15 15:40:43,Saturday,15:40:43,2020,Spring,DayTime
156,10074,179,4,1,41,5,41300,165200,40s,High-Price,2020-02-09 15:31:37,Sunday,15:31:37,2020,Winter,DayTime
157,10694,186,6,0,32,3,41200,247200,30s,High-Price,2020-01-20 09:50:21,Tuesday,09:50:21,2020,Winter,DayTime
158,10889,238,4,1,23,5,31700,126800,20s,Medium-Price,2020-03-01 14:12:39,Thursday,14:12:39,2020,Spring,DayTime
159,10520,160,2,0,26,3,39400,78800,20s,High-Price,2020-01-02 23:32:32,Friday,23:32:32,2020,Winter,PrimeTime
160,10356,322,1,0,18,5,12900,12900,10s,Low-Price,2020-03-17 23:26:32,Tuesday,23:26:32,2020,Spring,PrimeTime
161,10944,160,10,0,36,5,39400,394000,30s,High-Price,2020-03-10 22:47:58,Tuesday,22:47:58,2020,Spring,PrimeTime
162,10710,186,14,0,30,4,41200,576800,20s,High-Price,2020-02-02 22:17:49,Thursday,22:17:49,2020,Winter,PrimeTime
163,10682,162,5,0,27,3,40200,201000,20s,High-Price,2020-02-07 22:28:20,Tuesday,22:28:20,2020,Winter,PrimeTime
164,10797,254,10,1,24,7,22900,229000,20s,Medium-Price,2020-01-04 21:14:30,Wednesday,21:14:30,2020,Winter,PrimeTime
165,10247,144,7,0,30,6,40800,285600,20s,High-Price,2020-02-07 12:14:25,Tuesday,12:14:25,2020,Winter,DayTime
166,10891,360,4,0,18,7,5100,20400,10s,Low-Price,2020-02-20 23:37:49,Wednesday,23:37:49,2020,Winter,PrimeTime
167,10854,128,10,0,34,5,37500,375000,30s,High-Price,2020-01-26 23:09:39,Thursday,23:09:39,2020,Winter,PrimeTime
168,10780,160,9,0,24,5,39400,354600,20s,High-Price,2020-02-11 14:34:17,Thursday,14:34:17,2020,Winter,DayTime
169,10516,160,53,0,30,5,39400,2088200,20s,High-Price,2020-03-20 23:33:53,Saturday,23:33:53,2020,Spring,PrimeTime
170,10275,170,10,0,33,6,38000,380000,30s,High-Price,2020-02-19 23:41:27,Friday,23:41:27,2020,Winter,PrimeTime
171,10932,202,5,1,24,4,23500,117500,20s,Medium-Price,2020-01-13 05:11:11,Thursday,05:11:11,2020,Winter,DayBreak
172,10047,170,3,0,29,6,38000,114000,20s,High-Price,2020-02-14 14:37:54,Monday,14:37:54,2020,Winter,DayTime
173,10362,160,6,0,23,4,39400,236400,20s,High-Price,2020-02-21 01:29:26,Friday,01:29:26,2020,Winter,DayBreak
174,10146,127,14,1,32,4,41000,574000,30s,High-Price,2020-03-09 19:04:51,Thursday,19:04:51,2020,Spring,PrimeTime
175,10112,194,7,0,23,6,38200,267400,20s,High-Price,2020-03-31 20:04:38,Thursday,20:04:38,2020,Spring,PrimeTime
176,10156,160,8,0,33,6,39400,315200,30s,High-Price,2020-01-13 22:14:22,Saturday,22:14:22,2020,Winter,PrimeTime
177,10055,128,3,0,55,6,37500,112500,50s,High-Price,2020-01-28 19:02:16,Wednesday,19:02:16,2020,Winter,PrimeTime
178,10624,254,5,1,22,6,22900,114500,20s,Medium-Price,2020-01-28 23:54:36,Wednesday,23:54:36,2020,Winter,PrimeTime
179,10714,138,6,0,36,5,40000,240000,30s,High-Price,2020-02-12 03:58:15,Sunday,03:58:15,2020,Winter,DayBreak
180,10404,138,14,0,29,4,40000,560000,20s,High-Price,2020-03-14 22:50:07,Thursday,22:50:07,2020,Spring,PrimeTime
181,10200,138,2,0,24,5,40000,80000,20s,High-Price,2020-02-29 23:46:01,Tuesday,23:46:01,2020,Winter,PrimeTime
182,10584,170,1,0,27,6,38000,38000,20s,High-Price,2020-02-04 23:24:44,Tuesday,23:24:44,2020,Winter,PrimeTime
183,10870,197,8,1,30,8,42400,339200,20s,High-Price,2020-02-24 21:33:51,Wednesday,21:33:51,2020,Winter,PrimeTime
184,10428,179,18,0,23,5,41300,743400,20s,High-Price,2020-02-07 13:06:53,Tuesday,13:06:53,2020,Winter,DayTime
185,10941,160,2,0,22,7,39400,78800,20s,High-Price,2020-01-23 21:00:48,Sunday,21:00:48,2020,Winter,PrimeTime
186,10623,144,4,0,66,6,40800,163200,60s+,High-Price,2020-03-19 21:41:19,Monday,21:41:19,2020,Spring,PrimeTime
187,10687,282,3,1,24,5,28100,84300,20s,Medium-Price,2020-01-11 20:10:22,Monday,20:10:22,2020,Winter,PrimeTime
188,10675,118,8,0,23,10,41600,332800,20s,High-Price,2020-01-26 21:39:14,Monday,21:39:14,2020,Winter,PrimeTime
189,10674,193,22,0,42,5,43900,965800,40s,High-Price,2020-03-19 20:01:02,Monday,20:01:02,2020,Spring,PrimeTime
190,10075,162,18,0,23,7,40200,723600,20s,High-Price,2020-02-28 18:41:23,Thursday,18:41:23,2020,Winter,DayTime
191,10376,144,35,0,59,5,40800,1428000,50s,High-Price,2020-01-14 22:01:07,Sunday,22:01:07,2020,Winter,PrimeTime
192,10838,186,9,0,34,3,41200,370800,30s,High-Price,2020-01-08 23:53:42,Wednesday,23:53:42,2020,Winter,PrimeTime
193,10477,190,1,0,22,7,41900,41900,20s,High-Price,2020-03-22 16:23:44,Sunday,16:23:44,2020,Spring,DayTime
194,10815,179,1,0,26,7,41300,41300,20s,High-Price,2020-03-18 12:31:04,Friday,12:31:04,2020,Spring,DayTime
195,10929,197,1,0,31,5,42400,42400,30s,High-Price,2020-01-03 20:45:43,Sunday,20:45:43,2020,Winter,PrimeTime
196,10212,154,6,0,29,9,40300,241800,20s,High-Price,2020-01-03 22:50:11,Saturday,22:50:11,2020,Winter,PrimeTime
197,10424,111,2,0,16,2,38400,76800,10s,High-Price,2020-01-12 20:37:25,Saturday,20:37:25,2020,Winter,PrimeTime
198,10415,298,4,1,37,5,22600,90400,30s,Medium-Price,2020-02-07 09:16:21,Sunday,09:16:21,2020,Winter,DayTime
199,10224,152,6,0,25,5,38700,232200,20s,High-Price,2020-03-01 14:07:50,Tuesday,14:07:50,2020,Spring,DayTime
200,10880,108,11,0,24,6,40100,441100,20s,High-Price,2020-03-03 20:47:43,Tuesday,20:47:43,2020,Spring,PrimeTime
201,10176,122,2,0,27,5,37400,74800,20s,High-Price,2020-01-02 20:48:48,Sunday,20:48:48,2020,Winter,PrimeTime
202,10898,260,4,1,22,2,29300,117200,20s,Medium-Price,2020-01-31 23:43:19,Sunday,23:43:19,2020,Winter,PrimeTime
203,10929,194,4,0,31,5,38200,152800,30s,High-Price,2020-02-18 21:54:08,Sunday,21:54:08,2020,Winter,PrimeTime
204,10895,154,24,0,30,1,40300,967200,20s,High-Price,2020-03-22 14:42:56,Monday,14:42:56,2020,Spring,DayTime
205,10105,108,1,0,21,7,40100,40100,20s,High-Price,2020-02-13 09:23:57,Tuesday,09:23:57,2020,Winter,DayTime
206,10370,252,7,1,24,5,26500,185500,20s,Medium-Price,2020-03-29 16:00:57,Thursday,16:00:57,2020,Spring,DayTime
